,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
600,Fazenda São João do Monge Airstrip,small_airport,-14.883889,-47.641389,3606.0,Goiás,Água Fria de Goiás,POINT (4483635.58053603 8336153.9991922155)
601,Fazenda São João Airport,small_airport,-22.794166564941406,-49.34111022949219,2146.0,São Paulo,Águas De Santa Bárbara,POINT (4294537.9707650505 7410969.645371157)
602,Fazenda Tabaroa Airport,small_airport,-22.7976,-49.269128,2149.0,São Paulo,Águas de Santa Bárbara,POINT (4302546.147227625 7410557.664398549)
603,Domélia Airstrip,small_airport,-22.745532,-49.291213,2077.0,São Paulo,Agudos,POINT (4300089.143903004 7416804.224681392)
604,Alagoinhas Airport,small_airport,-12.175078,-38.380055,568.0,Bahia,Alagoinhas,POINT (5513978.728755654 8644186.79886857)
605,Alcântara Space Center Airport,small_airport,-2.373,-44.3964,148.0,Maranhão,Alcântara,POINT (4844647.523545325 9737690.010811588)
606,Fazenda Recanto Airport,small_airport,-18.007405,-54.009289,1093.0,Mato Grosso do Sul,Alcinópolis,POINT (3775193.1322291507 7976012.519064629)
607,Fazenda Rancho do Planalto Airport,small_airport,-18.145292,-53.363466,2707.0,Mato Grosso do Sul,Alcinópolis,POINT (3847042.3175638597 7959973.536426927)
608,Fazenda Flávia Airport,small_airport,-18.350000381469727,-53.75,1250.0,Mato Grosso do Sul,Alcinópolis,POINT (3804039.5861588675 7936138.250286031)
609,Fazenda São João Airport,small_airport,-17.936111,-53.904722,1132.0,Mato Grosso do Sul,Alcinópolis,POINT (3786826.433865814 7984300.434254333)
610,Fazenda Garrote Airstrip,small_airport,-18.024762,-53.262527,2940.0,Mato Grosso do Sul,Alcinópolis,POINT (3858271.996467368 7973994.257741086)
611,Fazenda Vera Airstrip,small_airport,-17.949702,-53.897262,1148.0,Mato Grosso do Sul,Alcinópolis,POINT (3787656.374766954 7982720.743923943)
612,Itagro Airport,small_airport,-29.780277252197266,-55.69722366333008,384.0,Rio Grande do Sul,Alegrete,POINT (3587406.8030670085 6547970.960146416)
613,Estância Itapororó Airport,small_airport,-29.436281,-56.293892,197.0,Rio Grande do Sul,Alegrete,POINT (3521026.178801924 6591765.997044708)
614,Chico Ledur Airport,small_airport,-29.817701,-55.714634,381.0,Rio Grande do Sul,Alegrete,POINT (3585469.866001997 6543197.312152278)
615,Estância Primavera Airstrip,small_airport,-30.058095,-55.435554,482.0,Rio Grande do Sul,Alegrete,POINT (3616518.1108666277 6512490.26637549)
616,Fazenda São Lourenço Airstrip,small_airport,-29.555833,-55.784444,449.0,Rio Grande do Sul,Alegrete,POINT (3577703.3547005784 6576562.625848081)
617,Fazenda Ibicuí Airport,small_airport,-29.753193,-55.155211,489.0,Rio Grande do Sul,Alegrete,POINT (3647706.867173368 6551424.612542062)
618,Fazenda ITK Agro Airport,small_airport,-30.031667,-55.313611,607.0,Rio Grande do Sul,Alegrete,POINT (3630084.529540584 6515869.754403262)
619,Alegretense Airport,small_airport,-29.804506,-55.78572,325.0,Rio Grande do Sul,Alegrete,POINT (3577561.3969807588 6544880.628059472)
620,Fazenda Tambaú Airstrip,small_airport,-1.614735,-54.547679,404.0,Pará,Alenquer,POINT (3715296.097140041 9821535.9439977)
621,Fazenda Bahia Airstrip,small_airport,-0.755395,-55.053735,1578.0,Pará,Alenquer,POINT (3658996.288471503 9916520.83632504)
622,Fazenda Curuá Airstrip,small_airport,-1.394722,-55.126111,230.0,Pará,Alenquer,POINT (3650944.3042006036 9845857.515850145)
623,Alenquer Municipal Airport,small_airport,-1.917,-54.7231,55.0,Pará,Alenquer,POINT (3695780.136976653 9788117.31223454)
624,Fazenda Santa Mônica Airport,small_airport,-15.9353,-48.646599,3888.0,Goiás,Alexânia,POINT (4371803.825410705 8215573.7436996)
625,Alexânia Municipal Airport,small_airport,-16.06185,-48.5294,3590.0,Goiás,Alexânia,POINT (4384842.46397273 8201018.158934069)
626,Fazenda Paraíso Airport,small_airport,-21.347703,-45.836725,2641.0,Minas Gerais,Alfenas,POINT (4684408.29721363 7583623.651089119)
627,Fazenda Belluno Airport,small_airport,-27.824879,-49.236475,3445.0,Santa Catarina,Alfredo Wagner,POINT (4306178.863078151 6794967.330983883)
628,Aliança do Tocantins Airport,small_airport,-11.295845,-48.926706,,Tocantins,Aliança do Tocantins,POINT (4340641.324607002 8743451.403824927)
629,Fazenda Boa Sorte Airport,small_airport,-11.304256,-48.679433,955.0,Tocantins,Aliança do Tocantins,POINT (4368150.972924373 8742503.308065306)
630,Almas Airstrip,small_airport,-11.579887,-47.162158,,Tocantins,Almas,POINT (4536951.050776541 8711418.200694494)
631,Fazenda Alternativa Airstrip,small_airport,-11.23,-47.165833,1627.0,Tocantins,Almas,POINT (4536542.199193206 8750872.542311318)
632,Fazenda Baixão Verde Airport,small_airport,-11.199761,-47.324064,1795.0,Tocantins,Almas,POINT (4518938.663170647 8754280.089236269)
633,Fazenda Galiléia 2 Airport,small_airport,-11.436389,-47.125278,1578.0,Tocantins,Almas,POINT (4541054.029387003 8727605.440097937)
634,Fazenda do Limão Airport,small_airport,0.28916698694229,-53.869998931885,984.0,Pará,Almeirim,POINT (3790689.4492065255 10031955.219960911)
